epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,134.114,1.26642,0.7777,1.22836,0.80572,0.26316,0.28092,0.1357,2.09313,1.67494,1.75859,0.001486,0.001486,0.001486
88,135.79,1.31783,0.82388,1.29078,0.80572,0.26316,0.28092,0.1357,2.09313,1.67494,1.75859,0.001387,0.001387,0.001387
89,137.375,1.37642,0.83711,1.28589,0.80572,0.26316,0.28092,0.1357,2.09313,1.67494,1.75859,0.001288,0.001288,0.001288
90,138.96,1.30357,0.89911,1.27456,0.28981,0.26316,0.27211,0.1284,2.15519,1.70241,1.85216,0.001189,0.001189,0.001189
91,141.585,1.23438,0.71949,1.22345,0.28981,0.26316,0.27211,0.1284,2.15519,1.70241,1.85216,0.00109,0.00109,0.00109
92,142.721,1.21019,0.72269,1.2135,0.78631,0.26316,0.26324,0.12864,2.16119,1.77304,1.86417,0.000991,0.000991,0.000991
93,143.955,1.1836,0.72928,1.21077,0.78631,0.26316,0.26324,0.12864,2.16119,1.77304,1.86417,0.000892,0.000892,0.000892
94,145.142,1.17935,0.68837,1.26591,0.27554,0.26316,0.26231,0.13117,2.13614,1.72285,1.84672,0.000793,0.000793,0.000793
95,145.946,1.23383,0.6954,1.15652,0.27554,0.26316,0.26231,0.13117,2.13614,1.72285,1.84672,0.000694,0.000694,0.000694
96,147.677,1.23213,0.77872,1.25433,0.28139,0.23712,0.25063,0.12637,2.14698,1.70747,1.83831,0.000595,0.000595,0.000595
97,149.263,1.2162,0.70611,1.17823,0.28139,0.23712,0.25063,0.12637,2.14698,1.70747,1.83831,0.000496,0.000496,0.000496
98,150.867,1.28928,0.76033,1.257,0.82529,0.21053,0.25058,0.12013,2.1882,1.71972,1.85845,0.000397,0.000397,0.000397
99,152.446,1.27978,0.69316,1.28554,0.82529,0.21053,0.25058,0.12013,2.1882,1.71972,1.85845,0.000298,0.000298,0.000298
100,154.046,1.18478,0.65773,1.17503,0.82334,0.21053,0.25106,0.12317,2.21265,1.75686,1.86905,0.000199,0.000199,0.000199
