epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
124,187.517,1.34484,0.74289,1.18721,0.37151,0.18421,0.23933,0.09395,2.38789,2.48341,2.02483,0.0087823,0.0087823,0.0087823
125,189.088,1.26873,0.73038,1.12468,0.37151,0.18421,0.23933,0.09395,2.38789,2.48341,2.02483,0.0087724,0.0087724,0.0087724
126,189.979,1.27149,0.78457,1.18826,0.39437,0.19719,0.2493,0.11048,2.24235,2.83187,1.92063,0.0087625,0.0087625,0.0087625
127,191.137,1.28896,0.72863,1.19318,0.39437,0.19719,0.2493,0.11048,2.24235,2.83187,1.92063,0.0087526,0.0087526,0.0087526
128,192.112,1.27173,0.74653,1.17122,0.39437,0.19719,0.2493,0.11048,2.24235,2.83187,1.92063,0.0087427,0.0087427,0.0087427
129,193.27,1.39081,0.85986,1.29614,0.39867,0.20737,0.23993,0.08836,2.50401,2.1123,2.02828,0.0087328,0.0087328,0.0087328
130,194.965,1.32045,0.78801,1.20148,0.39867,0.20737,0.23993,0.08836,2.50401,2.1123,2.02828,0.0087229,0.0087229,0.0087229
131,196.568,1.13617,0.70482,1.1331,0.34746,0.18421,0.25343,0.11778,2.42149,2.72251,1.97279,0.008713,0.008713,0.008713
132,198.256,1.32396,0.80788,1.2408,0.34746,0.18421,0.25343,0.11778,2.42149,2.72251,1.97279,0.0087031,0.0087031,0.0087031
133,199.861,1.24188,0.75946,1.12037,0.27388,0.21053,0.22028,0.09544,2.4189,2.44449,1.99934,0.0086932,0.0086932,0.0086932
134,201.575,1.29483,0.82628,1.19465,0.27388,0.21053,0.22028,0.09544,2.4189,2.44449,1.99934,0.0086833,0.0086833,0.0086833
135,203.262,1.12318,0.64789,1.08567,0.41604,0.13158,0.19918,0.10199,2.39715,2.66001,2.01882,0.0086734,0.0086734,0.0086734
136,204.852,1.08914,0.62634,1.06071,0.41604,0.13158,0.19918,0.10199,2.39715,2.66001,2.01882,0.0086635,0.0086635,0.0086635
137,206.432,1.09907,0.60512,1.11697,0.24533,0.18421,0.20139,0.10292,2.27077,2.76562,1.8636,0.0086536,0.0086536,0.0086536
138,208.027,1.16509,0.67779,1.10238,0.24533,0.18421,0.20139,0.10292,2.27077,2.76562,1.8636,0.0086437,0.0086437,0.0086437
139,209.638,1.20498,0.67395,1.17709,0.26631,0.13158,0.18981,0.083,2.43027,2.674,1.95607,0.0086338,0.0086338,0.0086338
140,211.321,1.24312,0.67085,1.09768,0.26631,0.13158,0.18981,0.083,2.43027,2.674,1.95607,0.0086239,0.0086239,0.0086239
141,212.924,1.23821,0.74315,1.19606,0.26631,0.13158,0.18981,0.083,2.43027,2.674,1.95607,0.008614,0.008614,0.008614
142,214.498,1.12488,0.67691,1.12925,0.26858,0.13158,0.16379,0.08125,2.34104,2.93948,1.98561,0.0086041,0.0086041,0.0086041
143,215.863,1.10987,0.66258,1.14118,0.26858,0.13158,0.16379,0.08125,2.34104,2.93948,1.98561,0.0085942,0.0085942,0.0085942
144,216.964,1.20438,0.63701,1.15513,0.18788,0.18421,0.1913,0.07452,2.50102,2.76758,2.05519,0.0085843,0.0085843,0.0085843
145,218.132,1.10144,0.61115,1.10783,0.18788,0.18421,0.1913,0.07452,2.50102,2.76758,2.05519,0.0085744,0.0085744,0.0085744
146,218.883,1.09535,0.66413,1.10863,0.23797,0.19153,0.18295,0.07938,2.3113,2.91943,2.01291,0.0085645,0.0085645,0.0085645
147,220.71,1.20629,0.68063,1.19818,0.23797,0.19153,0.18295,0.07938,2.3113,2.91943,2.01291,0.0085546,0.0085546,0.0085546
148,222.28,1.16735,0.66839,1.10177,0.26586,0.15789,0.18565,0.08308,2.30897,2.49279,1.95928,0.0085447,0.0085447,0.0085447
149,223.869,1.05947,0.68097,1.07657,0.26586,0.15789,0.18565,0.08308,2.30897,2.49279,1.95928,0.0085348,0.0085348,0.0085348
150,225.449,1.24572,0.74835,1.13047,0.32532,0.13158,0.17891,0.05438,2.79804,2.09514,2.42885,0.0085249,0.0085249,0.0085249
151,227.041,1.13323,0.65285,1.133,0.32532,0.13158,0.17891,0.05438,2.79804,2.09514,2.42885,0.008515,0.008515,0.008515
152,228.666,1.22628,0.69067,1.17789,0.18346,0.28947,0.24208,0.10354,2.26892,2.17111,1.92534,0.0085051,0.0085051,0.0085051
153,230.341,1.14837,0.63987,1.18512,0.18346,0.28947,0.24208,0.10354,2.26892,2.17111,1.92534,0.0084952,0.0084952,0.0084952
154,231.939,1.12864,0.72317,1.12301,0.18346,0.28947,0.24208,0.10354,2.26892,2.17111,1.92534,0.0084853,0.0084853,0.0084853
155,233.527,1.01941,0.62566,1.0591,0.27368,0.28655,0.25771,0.09983,2.29927,2.4602,1.95346,0.0084754,0.0084754,0.0084754
